position,entry_time,entry_price,exit_time,exit_price,profit,profit_pct,duration,reason
SHORT,2024-12-05 09:52:00-05:00,26.290000915527344,2024-12-05 10:00:00-05:00,26.57999992370605,-0.2899990081787074,-1.1030772083671887,8.0,Reversal
LONG,2024-12-05 10:08:00-05:00,27.01499938964844,2024-12-05 10:11:00-05:00,27.11000061035156,0.0950012207031179,0.3516610136941935,3.0,Reversal
SHORT,2024-12-05 10:22:00-05:00,26.34000015258789,2024-12-05 10:23:00-05:00,26.290000915527344,0.049999237060546875,0.18982246306340464,1.0,Trailing Stop
SHORT,2024-12-05 10:28:00-05:00,26.15999984741211,2024-12-05 10:30:00-05:00,26.2362003326416,-0.07620048522949219,-0.2912862602215587,2.0,Trailing Stop
SHORT,2024-12-05 10:34:00-05:00,25.959999084472656,2024-12-05 10:45:00-05:00,25.806100845336918,0.15389823913573863,0.5928283688876904,11.0,Trailing Stop
SHORT,2024-12-05 10:49:00-05:00,25.57999992370605,2024-12-05 11:02:00-05:00,25.479999542236328,0.10000038146972301,0.390931906833387,13.0,Trailing Stop
SHORT,2024-12-05 11:10:00-05:00,25.1648006439209,2024-12-05 11:15:00-05:00,25.114999771118164,0.049800872802734375,0.19789893632542982,5.0,Trailing Stop
SHORT,2024-12-05 11:26:00-05:00,24.94610023498535,2024-12-05 11:31:00-05:00,25.190000534057617,-0.24390029907226562,-0.9777091279790925,5.0,Reversal
SHORT,2024-12-05 11:45:00-05:00,25.25760078430176,2024-12-05 11:46:00-05:00,25.270000457763672,-0.01239967346191051,-0.04909283968735946,1.0,Trailing Stop
LONG,2024-12-05 11:51:00-05:00,25.395000457763672,2024-12-05 11:52:00-05:00,25.40999984741211,0.0149993896484375,0.05906434092562474,1.0,Trailing Stop
LONG,2024-12-05 11:58:00-05:00,25.6299991607666,2024-12-05 11:59:00-05:00,25.538799285888672,-0.09119987487792969,-0.3558325316589744,1.0,Trailing Stop
LONG,2024-12-05 12:08:00-05:00,25.86000061035156,2024-12-05 12:09:00-05:00,25.833999633789062,-0.026000976562496447,-0.10054515061414368,1.0,Trailing Stop
LONG,2024-12-05 12:24:00-05:00,25.959999084472656,2024-12-05 12:25:00-05:00,25.988399505615234,0.028400421142578125,0.10940070163394246,1.0,Trailing Stop
LONG,2024-12-05 12:32:00-05:00,25.96999931335449,2024-12-05 12:33:00-05:00,25.989999771118164,0.020000457763675428,0.07701370154981345,1.0,Trailing Stop
LONG,2024-12-05 12:37:00-05:00,26.149999618530277,2024-12-05 12:38:00-05:00,26.202999114990234,0.052999496459957385,0.20267494161797678,1.0,Trailing Stop
SHORT,2024-12-05 12:53:00-05:00,26.13999938964844,2024-12-05 12:54:00-05:00,26.15999984741211,-0.020000457763668322,-0.07651284709512501,1.0,Trailing Stop
SHORT,2024-12-05 12:56:00-05:00,26.030000686645508,2024-12-05 12:57:00-05:00,26.040000915527344,-0.010000228881835938,-0.0384180891972334,1.0,Trailing Stop
SHORT,2024-12-05 13:18:00-05:00,25.979999542236328,2024-12-05 13:19:00-05:00,25.8700008392334,0.10999870300292969,0.4233976325677068,1.0,Trailing Stop
LONG,2024-12-05 13:32:00-05:00,25.43000030517578,2024-12-05 13:33:00-05:00,25.46999931335449,0.039999008178707385,0.1572906319256566,1.0,Trailing Stop
SHORT,2024-12-05 13:51:00-05:00,25.51000022888184,2024-12-05 13:52:00-05:00,25.538799285888672,-0.028799057006832385,-0.11289320559953094,1.0,Trailing Stop
SHORT,2024-12-05 14:34:00-05:00,25.57999992370605,2024-12-05 14:35:00-05:00,25.57999992370605,0.0,0.0,1.0,Trailing Stop
SHORT,2024-12-05 15:18:00-05:00,25.1299991607666,2024-12-05 15:19:00-05:00,25.149999618530277,-0.020000457763675428,-0.07958797624991765,1.0,Trailing Stop
SHORT,2024-12-05 15:32:00-05:00,25.13500022888184,2024-12-05 15:33:00-05:00,25.190000534057617,-0.0550003051757777,-0.2188195928981078,1.0,Trailing Stop
LONG,2024-12-05 15:44:00-05:00,25.393299102783203,2024-12-05 15:45:00-05:00,25.277999877929688,-0.11529922485351562,-0.45405374223658235,1.0,Trailing Stop
