time,action,price,reason
2024-12-05 09:35:00-05:00,ENTER Down,25.739999771118164,New Down trend
2024-12-05 09:42:00-05:00,EXIT,25.90999984741211,Trailing stop triggered
2024-12-05 09:43:00-05:00,ENTER Up,26.049999237060547,New Up trend
2024-12-05 10:15:00-05:00,EXIT,26.86000061035156,Trailing stop triggered
2024-12-05 10:16:00-05:00,ENTER Down,26.770000457763672,New Down trend
2024-12-05 11:21:00-05:00,EXIT,25.209999084472656,Trailing stop triggered
2024-12-05 11:26:00-05:00,ENTER Down,24.94610023498535,New Down trend
2024-12-05 12:08:00-05:00,EXIT,25.86000061035156,Trailing stop triggered
2024-12-05 12:09:00-05:00,ENTER Up,25.833999633789062,New Up trend
2024-12-05 13:21:00-05:00,EXIT,25.670000076293945,Trailing stop triggered
2024-12-05 13:22:00-05:00,ENTER Down,25.729999542236328,New Down trend
2024-12-05 15:44:00-05:00,EXIT,25.393299102783203,Trailing stop triggered
